category,type,value,comment,date
Payload delivery,sha1,8e3b40c0783cc88765bbc02ccc781960e4592f3f,test,1646063507
Payload delivery,sha256,b36bd545ae992d1969908b9de7ceb5bd5ce53c6cfa0bbc8f92c0b805875e0786,test,1646063507
Payload delivery,sha256,a196c6b8ffcb97ffb276d04f354696e2391311db3841ae16c8c9f56f36a38e92,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,md5,095a1678021b034903c85dd5acb447ad,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha256,a64c3e0522fad787b95bfb6a30c3aed1b5786e69e88e023c062ec7e5cebf4d3e,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha256,1bc44eef75779e3ca1eefb8ff5a64807dbc942b1e4a2672d77b9f6928d292591,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha1,61b25d11392172e587d8da3045812a66c3385451,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,md5,a952e288a1ead66490b3275a807f52e5,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha1,912342f1c840a42f6b74132f8a7c4ffe7d40fb77,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,md5,eb845b7a16ed82bd248e395d9852f467,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha256,0385eeab00e946a302b24a91dea4187c1210597b8e17cd9e2230450f5ece21da,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha256,dcbbae5a1c61dbbbb7dcd6dc5dd1eb1169f5329958d38b58c3fd9384081c9b78,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,md5,231b3385ac17e41c5bb1b1fcb59599c4,https://community.riskiq.com/article/8b229644/indicators,1646063507
Payload delivery,sha256,4dc13bb83a16d4ff9865a51b3e4d24112327c526c1392e14d56f20d6f4eaf382,https://community.riskiq.com/article/8b229644/indicators,1646063507
Network activity,domain,3237.site,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063507
Network activity,domain,abrumpere.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,abrusa.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,absinthiuma.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,abyssinica.website,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acaciana.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acantholyda.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acanthophis.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,accordan.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,account-google.site,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acetica.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acetica.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acetobacter.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acetobacter.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,achalinus.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,achilleas.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acidop.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acorusis.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acrididae.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acrididae.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acridoxena.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acteran.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acteraon.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,acterium.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,aculeatus.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,adblocked.space,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,adeltorr.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,adleer.ru,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,admin-gmail.online,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
Network activity,domain,adonisi.xyz,https://raw.githubusercontent.com/Orange-Cyberdefense/russia-ukraine_IOCs/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv,1646063508
